IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP44;IP_PROP45;IP_PROP46;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
480227271404240038;Крышка 24см Weller стальной (кор=10шт);Крышка 24см Weller стальной (кор=10шт);;36377;;;;;;1;;;;;;;;
4778931903808429625;Крышка 28 см Mocco (Бесцветное стекло) 10 шт;Крышка 28 см Mocco (Бесцветное стекло) 10 шт;;31788;;;;;;2;;;;;;;;
8343564399656104621;Крышка стеклянная 24см Mocco;Крышка стеклянная 24см Mocco;;34091;;;;;;1;;;;;;;;
4069402411074477579;Крышка стеклянная 26см Mocco;Крышка стеклянная 26см Mocco;;34092;;;;;;4;;;;;;;;
66517701365238246;Ложка для соуса Anatomie черный (кор=48);Ложка для соуса Anatomie черный (кор=48);;36391;;;;;;1;;;;;;;;
7828336855537319279;Ложка поварская (нейлон) Anatomie;Ложка поварская (нейлон) Anatomie;;36470;;;;;;2;;;;;;;;
72743968930659511;Ложка поварская Anatomie черный (кор=48);Ложка поварская Anatomie черный (кор=48);;36390;;;;;;3;;;;;;;;
859268990712419646;Ложка поварская нейлон Mocco& Latte (Коричневый) 36 шт.в уп. ;Ложка поварская нейлон Mocco& Latte (Коричневый) 36 шт.в уп. ;;31789;;;;;;12;;;;;;;;
4290303191228627381;Лопатка перфорированная Mocco& Latte (Коричневый) 36 шт.в уп. ;Лопатка перфорированная Mocco& Latte (Коричневый) 36 шт.в уп. ;;31790;;;;;;2;;;;;;;;
6002732262836559264;Механическая точилка для ножей с алмазн.напылением Langsax стальной )кор=36шт);Механическая точилка для ножей с алмазн.напылением Langsax стальной )кор=36шт);;36383;;;;;;1;;;;;;;;
6380073476034412716;Набор 6 предметов (кастрюли 20\, 24\, ковш 16) Dominant (стальной);Набор 6 предметов (кастрюли 20\, 24\, ковш 16) Dominant (стальной);;31437;;;;;;2;;;;;;;;
194557692824841431;Набор 6 предметов (кастрюли 20\, 24\, ковш 16) серые ручки Strike Rondell (ST стальной) ;Набор 6 предметов (кастрюли 20\, 24\, ковш 16) серые ручки Strike Rondell (ST стальной) ;;32356;;;;;;1;;;;;;;;
5549354443533410059;Набор 6 предметов (кастрюля 20см\, 24см\, ковш 16) Aristokrat;Набор 6 предметов (кастрюля 20см\, 24см\, ковш 16) Aristokrat;;36475;;;;;;1;;;;;;;;
6625848792859524305;Набор 8 предметов (кастрюли 18\, 20\,24 ковш 16) Bojole(стальной) ;Набор 8 предметов (кастрюли 18\, 20\,24 ковш 16) Bojole(стальной) ;;32357;;;;;;1;;;;;;;;
6652383294296952831;Набор детских столовых приборов 3 предмета Anzu;Набор детских столовых приборов 3 предмета Anzu;;34814;;;;;;1;;;;;;;;
8498496833135237518;Набор кухонных ножей 4 предмета Small Balestra(черн) 4 шт;Набор кухонных ножей 4 предмета Small Balestra(черн) 4 шт;;31787;;;;;;2;;;;;;;;
7917862601251715179;Набор ножей 3шт + разд.доска в блистере Primarch;Набор ножей 3шт + разд.доска в блистере Primarch;;32534;;;;;;3;;;;;;;;
2399870230140864634;Набор ножей с точилкой (промо) Kroner;Набор ножей с точилкой (промо) Kroner;;32843;;;;;;2;;;;;;;;
1383674659303327713;Набор посуды 6 предметов Strike;Набор посуды 6 предметов Strike;;33075;;;;;;1;;;;;;;;
4062154640281255239;Набор посуды 6пр: кастрюли 20\,24см с/кр\,ковш с/кр 16см Flamme стальной (кор=2);Набор посуды 6пр: кастрюли 20\,24см с/кр\,ковш с/кр 16см Flamme стальной (кор=2);;36384;;;;;;1;;;;;;;;
4666451756825626524;Набор столовых приборов 24пр Jutta стальной (кор=6шт);Набор столовых приборов 24пр Jutta стальной (кор=6шт);;36380;;;;;;1;;;;;;;;
