IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP44;IP_PROP45;IP_PROP46;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
ec39fbcc-fb51-11e6-80e7-0014d111070f;Фруктовница розовая Rozaperla;Фруктовница розовая Rozaperla;;31018;1053;;Италия;Стекло;Rozaperla;1;0;0;0;0;;;23610.00;RUB
09a63f03-fb52-11e6-80e7-0014d111070f;Ваза Rozaperla;Ваза Rozaperla;;31019;322;;Италия;Стекло;Rozaperla;1;0;0;0;0;;;28870.00;RUB
19d9a0c8-fb52-11e6-80e7-0014d111070f;Фруктовница Rozaperla;Фруктовница Rozaperla;;31020;1419;;Италия;Стекло;Rozaperla;1;0;0;0;0;;;28620.00;RUB
c97fedcd-7f7c-11e2-b5d0-90e6ba3c1e10;Сервиз чайный 6пер 15пр Белый узор;Сервиз чайный 6пер 15пр Белый узор;;6856;8080;;Чехия;Фарфор;Бернадотт;32;0;0;0;0;;;4750.00;RUB
b4e90511-6059-11e6-80d8-0014d111070f;Фруктовница;Фруктовница;;29242;6766;;Япония;LEFARD;Фруктовницы, Вазы, Конфетницы, Тортницы;1;0;0;0;0;;;1770.00;RUB
284a84a4-fccb-11e6-80e7-0014d111070f;Набор чайных пар 220мл 6шт Скарлетт;Набор чайных пар 220мл 6шт Скарлетт;;31021;7115;;Япония;LEFARD;Чайные сервизы и наборы;2;0;0;0;0;;;2510.00;RUB
7c0c2ddf-fccb-11e6-80e7-0014d111070f;Набор чайных пар 220мл 6шт Вивьен;Набор чайных пар 220мл 6шт Вивьен;;31022;7064;;Япония;LEFARD;Чайные сервизы и наборы;1;0;0;0;0;;;2300.00;RUB
e95b31ef-fccb-11e6-80e7-0014d111070f;Набор чайных пар 6шт 220мл;Набор чайных пар 6шт 220мл;;31023;7120;;Япония;LEFARD;Чайные сервизы и наборы;1;0;0;0;0;;;2590.00;RUB
2a15f5a5-fcce-11e6-80e7-0014d111070f;Ваза 2-х ярусная 4-х секционная;Ваза 2-х ярусная 4-х секционная;;31024;6881;;Япония;LEFARD;Фруктовницы, Вазы, Конфетницы, Тортницы;5;0;0;0;0;;;820.00;RUB
7b9e905d-fcce-11e6-80e7-0014d111070f;Комплект салфеток из 6шт 40*40см;Комплект салфеток из 6шт 40*40см;;31025;736;;Япония;LEFARD;Текстиль;3;0;0;0;0;;;1050.00;RUB
a92db75e-fcce-11e6-80e7-0014d111070f;Сахарница 560мл;Сахарница 560мл;;31026;1226;;Япония;LEFARD;Сахарницы;5;0;0;0;0;;;620.00;RUB
cea9cbbd-fcce-11e6-80e7-0014d111070f;Хлебница деревянная;Хлебница деревянная;;31027;1006;;Япония;LEFARD;Хлебницы;1;0;0;0;0;;;1680.00;RUB
dd7d8f6b-fcce-11e6-80e7-0014d111070f;Хлебница деревянная;Хлебница деревянная;;31028;440;;Япония;LEFARD;Хлебницы;1;0;0;0;0;;;1750.00;RUB
9688f1e4-fda5-11e6-80e7-0014d111070f;Соковыжималка Белый узор;Соковыжималка Белый узор;;31056;8123;;Чехия;Фарфор;Бернадотт;1;0;0;0;0;;;280.00;RUB
9a625067-e2d5-11e6-80e5-0014d111070f;Набор тарелок 24см 6шт Constance Кобальт полевой цветок;Набор тарелок 24см 6шт Constance Кобальт полевой цветок;;30617;7970;;Чехия;Фарфор;Тхун;1;0;0;0;0;;;5800.00;RUB
4f6f0dd5-e2d6-11e6-80e5-0014d111070f;Сервиз столовый 6пер 27пр Constance Мелкие цветы;Сервиз столовый 6пер 27пр Constance Мелкие цветы;;30622;7832;;Чехия;Фарфор;Тхун;5;0;0;0;0;;;9610.00;RUB
